297.3999939,2018-01-31T15:25:13.784,126
296.7000122,2018-01-31T15:25:13.826,127
296.3000183,2018-01-31T15:25:13.867,128
296,2018-01-31T15:25:13.908,129
295.3000183,2018-01-31T15:25:13.949,130
294.7000122,2018-01-31T15:25:13.991,131
294.2000122,2018-01-31T15:25:14.032,132
293.5,2018-01-31T15:25:14.073,133
292.8000183,2018-01-31T15:25:14.114,134
292.2000122,2018-01-31T15:25:14.156,135
291.2000122,2018-01-31T15:25:14.197,136
290.5,2018-01-31T15:25:14.238,137
289.6000061,2018-01-31T15:25:14.279,138
288.7000122,2018-01-31T15:25:14.321,139
288.1000061,2018-01-31T15:25:14.362,140
287.3999939,2018-01-31T15:25:14.403,141
286.3999939,2018-01-31T15:25:14.444,142
285.7000122,2018-01-31T15:25:14.486,143
285.1000061,2018-01-31T15:25:14.527,144
284.6000061,2018-01-31T15:25:14.568,145
283.7000122,2018-01-31T15:25:14.609,146
283.1000061,2018-01-31T15:25:14.651,147
282.5,2018-01-31T15:25:14.692,148
281.7000122,2018-01-31T15:25:14.733,149
281.2000122,2018-01-31T15:25:14.774,150
280.6000061,2018-01-31T15:25:14.816,151
280,2018-01-31T15:25:14.856,152
279.8000183,2018-01-31T15:25:14.898,153
279.3999939,2018-01-31T15:25:14.940,154
279.2000122,2018-01-31T15:25:14.981,155
278.8999939,2018-01-31T15:25:15.022,156
278.3000183,2018-01-31T15:25:15.063,157
278.2000122,2018-01-31T15:25:15.104,158
278,2018-01-31T15:25:15.146,159
277.8000183,2018-01-31T15:25:15.187,160
277.5,2018-01-31T15:25:15.229,161
277.5,2018-01-31T15:25:15.269,162
277.3999939,2018-01-31T15:25:15.311,163
276.8999939,2018-01-31T15:25:15.352,164
276.7000122,2018-01-31T15:25:15.393,165
276.3000183,2018-01-31T15:25:15.434,166
276.3000183,2018-01-31T15:25:15.476,167
276.2000122,2018-01-31T15:25:15.517,168
275.6000061,2018-01-31T15:25:15.558,169
275.6000061,2018-01-31T15:25:15.599,170
275.3999939,2018-01-31T15:25:15.640,171
275.2000122,2018-01-31T15:25:15.682,172
275,2018-01-31T15:25:15.723,173
274.8000183,2018-01-31T15:25:15.764,174
274.8000183,2018-01-31T15:25:15.805,175
274.3000183,2018-01-31T15:25:15.847,176
273.8999939,2018-01-31T15:25:15.888,177
273.5,2018-01-31T15:25:15.929,178
273.3000183,2018-01-31T15:25:15.970,179
273.2000122,2018-01-31T15:25:16.012,180
273.1000061,2018-01-31T15:25:16.053,181
273,2018-01-31T15:25:16.094,182
273,2018-01-31T15:25:16.136,183
272.7000122,2018-01-31T15:25:16.177,184
272.6000061,2018-01-31T15:25:16.218,185
272.6000061,2018-01-31T15:25:16.259,186
272.5,2018-01-31T15:25:16.300,187
272.3999939,2018-01-31T15:25:16.342,188
272.3999939,2018-01-31T15:25:16.383,189
272.3999939,2018-01-31T15:25:16.424,190
272.1000061,2018-01-31T15:25:16.466,191
271.8999939,2018-01-31T15:25:16.507,192
272,2018-01-31T15:25:16.548,193
272,2018-01-31T15:25:16.589,194
272,2018-01-31T15:25:16.631,195
272,2018-01-31T15:25:16.672,196
272,2018-01-31T15:25:16.713,197
272,2018-01-31T15:25:16.754,198
271.8999939,2018-01-31T15:25:16.796,199
