Time,Label
Logging Begins,542767687.529701
Note,542767698.049326
Note,542767699.735253
Note,542767703.571126
Note,542767707.190803
Note,542767709.404743
Note,542767712.450610
Note,542767714.870824
Note,542767721.086554
Note,542767724.982129
Note,542767731.643846
Logging Ends,542767735.189201
