0,0
0.5,2.9
1,3.75
1.5,4.25
2,4.4
2.5,4.5
3,4.6
3.5,4.65
4,4.7
4.5,4.73
5,4.75
5.5,4.77
6,4.8
6.5,4.83
7,4.86
7.5,4.89
8,4.91
8.5,4.93
9,4.94
9.5,4.95
10,4.96
