pF,time,sample
259.700012207031,2018-02-05T13:36:20.896,119
259.700012207031,2018-02-05T13:36:20.937,120
260.0,2018-02-05T13:36:20.979,121
260.0,2018-02-05T13:36:21.019,122
260.399993896484,2018-02-05T13:36:21.061,123
260.399993896484,2018-02-05T13:36:21.102,124
260.600006103516,2018-02-05T13:36:21.144,125
260.600006103516,2018-02-05T13:36:21.184,126
260.600006103516,2018-02-05T13:36:21.226,127
260.600006103516,2018-02-05T13:36:21.267,128
260.300018310547,2018-02-05T13:36:21.309,129
260.200012207031,2018-02-05T13:36:21.350,130
259.600006103516,2018-02-05T13:36:21.391,131
259.399993896484,2018-02-05T13:36:21.433,132
259.100006103516,2018-02-05T13:36:21.473,133
259.0,2018-02-05T13:36:21.515,134
258.600006103516,2018-02-05T13:36:21.556,135
258.100006103516,2018-02-05T13:36:21.598,136
258.100006103516,2018-02-05T13:36:21.639,137
257.700012207031,2018-02-05T13:36:21.680,138
257.5,2018-02-05T13:36:21.721,139
257.0,2018-02-05T13:36:21.762,140
257.0,2018-02-05T13:36:21.804,141
256.800018310547,2018-02-05T13:36:21.845,142
256.200012207031,2018-02-05T13:36:21.886,143
256.100006103516,2018-02-05T13:36:21.927,144
255.800003051758,2018-02-05T13:36:21.969,145
255.5,2018-02-05T13:36:22.010,146
255.300003051758,2018-02-05T13:36:22.051,147
255.300003051758,2018-02-05T13:36:22.092,148
254.600006103516,2018-02-05T13:36:22.134,149
254.600006103516,2018-02-05T13:36:22.175,150
254.300003051758,2018-02-05T13:36:22.216,151
254.199996948242,2018-02-05T13:36:22.257,152
254.100006103516,2018-02-05T13:36:22.298,153
254.100006103516,2018-02-05T13:36:22.340,154
254.100006103516,2018-02-05T13:36:22.381,155
254.0,2018-02-05T13:36:22.422,156
254.0,2018-02-05T13:36:22.464,157
254.0,2018-02-05T13:36:22.505,158
254.0,2018-02-05T13:36:22.546,159
254.0,2018-02-05T13:36:22.587,160
254.0,2018-02-05T13:36:22.629,161
253.699996948242,2018-02-05T13:36:22.670,162
253.699996948242,2018-02-05T13:36:22.711,163
253.699996948242,2018-02-05T13:36:22.753,164
253.699996948242,2018-02-05T13:36:22.794,165
253.699996948242,2018-02-05T13:36:22.835,166
253.5,2018-02-05T13:36:22.918,167
253.5,2018-02-05T13:36:22.918,168
253.300003051758,2018-02-05T13:36:22.959,169
253.199996948242,2018-02-05T13:36:23.000,170
253.199996948242,2018-02-05T13:36:23.041,171
253.199996948242,2018-02-05T13:36:23.083,172
253.100006103516,2018-02-05T13:36:23.124,173
253.100006103516,2018-02-05T13:36:23.165,174
253.100006103516,2018-02-05T13:36:23.206,175
253.199996948242,2018-02-05T13:36:23.247,176
253.100006103516,2018-02-05T13:36:23.289,177
252.900009155273,2018-02-05T13:36:23.330,178
252.900009155273,2018-02-05T13:36:23.371,179
252.800003051758,2018-02-05T13:36:23.412,180
252.800003051758,2018-02-05T13:36:23.454,181
252.900009155273,2018-02-05T13:36:23.495,182
253.0,2018-02-05T13:36:23.536,183
253.199996948242,2018-02-05T13:36:23.577,184
253.199996948242,2018-02-05T13:36:23.619,185
253.300003051758,2018-02-05T13:36:23.660,186
253.600006103516,2018-02-05T13:36:23.701,187
253.600006103516,2018-02-05T13:36:23.742,188
253.800003051758,2018-02-05T13:36:23.784,189
254.0,2018-02-05T13:36:23.825,190
254.5,2018-02-05T13:36:23.866,191
254.5,2018-02-05T13:36:23.907,192
254.5,2018-02-05T13:36:23.949,193
255.0,2018-02-05T13:36:23.998,194
255.0,2018-02-05T13:36:24.031,195
255.5,2018-02-05T13:36:24.072,196
255.600006103516,2018-02-05T13:36:24.113,197
256.100006103516,2018-02-05T13:36:24.155,198
256.100006103516,2018-02-05T13:36:24.196,199
256.200012207031,2018-02-05T13:36:24.237,200
256.399993896484,2018-02-05T13:36:24.279,201
256.399993896484,2018-02-05T13:36:24.320,202
256.399993896484,2018-02-05T13:36:24.361,203
256.800018310547,2018-02-05T13:36:24.402,204
256.899993896484,2018-02-05T13:36:24.485,205
257.100006103516,2018-02-05T13:36:24.485,206
257.100006103516,2018-02-05T13:36:24.526,207
257.300018310547,2018-02-05T13:36:24.567,208
257.300018310547,2018-02-05T13:36:24.609,209
257.5,2018-02-05T13:36:24.650,210
257.600006103516,2018-02-05T13:36:24.691,211
257.600006103516,2018-02-05T13:36:24.732,212
257.300018310547,2018-02-05T13:36:24.773,213
257.200012207031,2018-02-05T13:36:24.815,214
257.100006103516,2018-02-05T13:36:24.856,215
257.0,2018-02-05T13:36:24.897,216
256.600006103516,2018-02-05T13:36:24.939,217
256.100006103516,2018-02-05T13:36:24.980,218
255.900009155273,2018-02-05T13:36:25.021,219
255.800003051758,2018-02-05T13:36:25.063,220
255.400009155273,2018-02-05T13:36:25.104,221
255.199996948242,2018-02-05T13:36:25.145,222
255.100006103516,2018-02-05T13:36:25.186,223
255.0,2018-02-05T13:36:25.227,224
255.0,2018-02-05T13:36:25.269,225
254.900009155273,2018-02-05T13:36:25.310,226
254.600006103516,2018-02-05T13:36:25.351,227
254.5,2018-02-05T13:36:25.393,228
254.5,2018-02-05T13:36:25.434,229
254.400009155273,2018-02-05T13:36:25.475,230
254.400009155273,2018-02-05T13:36:25.516,231
254.400009155273,2018-02-05T13:36:25.558,232
254.100006103516,2018-02-05T13:36:25.599,233
254.100006103516,2018-02-05T13:36:25.640,234
253.800003051758,2018-02-05T13:36:25.681,235
253.699996948242,2018-02-05T13:36:25.723,236
253.600006103516,2018-02-05T13:36:25.764,237
253.600006103516,2018-02-05T13:36:25.805,238
253.800003051758,2018-02-05T13:36:25.846,239
253.800003051758,2018-02-05T13:36:25.888,240
253.800003051758,2018-02-05T13:36:25.929,241
253.699996948242,2018-02-05T13:36:25.970,242
253.600006103516,2018-02-05T13:36:26.011,243
253.600006103516,2018-02-05T13:36:26.053,244
253.600006103516,2018-02-05T13:36:26.094,245
253.699996948242,2018-02-05T13:36:26.135,246
253.699996948242,2018-02-05T13:36:26.176,247
253.5,2018-02-05T13:36:26.218,248
253.400009155273,2018-02-05T13:36:26.259,249
253.300003051758,2018-02-05T13:36:26.300,250
253.300003051758,2018-02-05T13:36:26.341,251
253.100006103516,2018-02-05T13:36:26.383,252
252.900009155273,2018-02-05T13:36:26.424,253
252.800003051758,2018-02-05T13:36:26.465,254
252.800003051758,2018-02-05T13:36:26.506,255
252.600006103516,2018-02-05T13:36:26.548,256
252.5,2018-02-05T13:36:26.588,257
252.5,2018-02-05T13:36:26.630,258
252.600006103516,2018-02-05T13:36:26.671,259
252.600006103516,2018-02-05T13:36:26.713,260
252.600006103516,2018-02-05T13:36:26.754,261
252.600006103516,2018-02-05T13:36:26.795,262
252.600006103516,2018-02-05T13:36:26.836,263
252.5,2018-02-05T13:36:26.877,264
252.5,2018-02-05T13:36:26.919,265
252.699996948242,2018-02-05T13:36:26.960,266
252.800003051758,2018-02-05T13:36:27.001,267
253.199996948242,2018-02-05T13:36:27.042,268
253.400009155273,2018-02-05T13:36:27.084,269
253.5,2018-02-05T13:36:27.125,270
253.600006103516,2018-02-05T13:36:27.166,271
254.0,2018-02-05T13:36:27.208,272
254.0,2018-02-05T13:36:27.249,273
254.5,2018-02-05T13:36:27.290,274
254.600006103516,2018-02-05T13:36:27.331,275
255.0,2018-02-05T13:36:27.372,276
255.100006103516,2018-02-05T13:36:27.414,277
255.100006103516,2018-02-05T13:36:27.455,278
255.100006103516,2018-02-05T13:36:27.496,279
255.5,2018-02-05T13:36:27.537,280
255.5,2018-02-05T13:36:27.579,281
256.100006103516,2018-02-05T13:36:27.620,282
256.100006103516,2018-02-05T13:36:27.661,283
256.200012207031,2018-02-05T13:36:27.702,284
256.600006103516,2018-02-05T13:36:27.744,285
257.0,2018-02-05T13:36:27.785,286
257.5,2018-02-05T13:36:27.826,287
257.800018310547,2018-02-05T13:36:27.867,288
258.0,2018-02-05T13:36:27.909,289
258.200012207031,2018-02-05T13:36:27.950,290
258.600006103516,2018-02-05T13:36:27.991,291
259.300018310547,2018-02-05T13:36:28.033,292
259.300018310547,2018-02-05T13:36:28.073,293
259.700012207031,2018-02-05T13:36:28.115,294
259.800018310547,2018-02-05T13:36:28.156,295
260.300018310547,2018-02-05T13:36:28.198,296
260.300018310547,2018-02-05T13:36:28.239,297
260.800018310547,2018-02-05T13:36:28.280,298
261.200012207031,2018-02-05T13:36:28.321,299
261.399993896484,2018-02-05T13:36:28.363,300
261.399993896484,2018-02-05T13:36:28.404,301
262.200012207031,2018-02-05T13:36:28.445,302
262.399993896484,2018-02-05T13:36:28.486,303
262.700012207031,2018-02-05T13:36:28.528,304
262.899993896484,2018-02-05T13:36:28.569,305
263.0,2018-02-05T13:36:28.610,306
263.399993896484,2018-02-05T13:36:28.651,307
263.700012207031,2018-02-05T13:36:28.693,308
264.0,2018-02-05T13:36:28.734,309
264.300018310547,2018-02-05T13:36:28.775,310
264.800018310547,2018-02-05T13:36:28.816,311
265.0,2018-02-05T13:36:28.858,312
265.200012207031,2018-02-05T13:36:28.899,313
265.899993896484,2018-02-05T13:36:28.940,314
265.899993896484,2018-02-05T13:36:28.981,315
266.100006103516,2018-02-05T13:36:29.022,316
266.5,2018-02-05T13:36:29.063,317
266.600006103516,2018-02-05T13:36:29.105,318
266.800018310547,2018-02-05T13:36:29.146,319
267.5,2018-02-05T13:36:29.188,320
267.5,2018-02-05T13:36:29.229,321
267.399993896484,2018-02-05T13:36:29.270,322
267.399993896484,2018-02-05T13:36:29.311,323
267.5,2018-02-05T13:36:29.353,324
267.5,2018-02-05T13:36:29.394,325
267.5,2018-02-05T13:36:29.435,326
267.5,2018-02-05T13:36:29.476,327
267.5,2018-02-05T13:36:29.518,328
267.5,2018-02-05T13:36:29.559,329
267.600006103516,2018-02-05T13:36:29.600,330
267.600006103516,2018-02-05T13:36:29.641,331
267.600006103516,2018-02-05T13:36:29.682,332
267.5,2018-02-05T13:36:29.724,333
267.399993896484,2018-02-05T13:36:29.765,334
267.399993896484,2018-02-05T13:36:29.806,335
267.300018310547,2018-02-05T13:36:29.848,336
267.300018310547,2018-02-05T13:36:29.889,337
267.300018310547,2018-02-05T13:36:29.930,338
267.300018310547,2018-02-05T13:36:29.971,339
267.300018310547,2018-02-05T13:36:30.013,340
267.300018310547,2018-02-05T13:36:30.054,341
267.300018310547,2018-02-05T13:36:30.095,342
267.300018310547,2018-02-05T13:36:30.136,343
267.399993896484,2018-02-05T13:36:30.177,344
267.399993896484,2018-02-05T13:36:30.219,345
267.399993896484,2018-02-05T13:36:30.260,346
267.200012207031,2018-02-05T13:36:30.301,347
267.200012207031,2018-02-05T13:36:30.342,348
267.200012207031,2018-02-05T13:36:30.384,349
267.100006103516,2018-02-05T13:36:30.425,350
267.100006103516,2018-02-05T13:36:30.466,351
267.100006103516,2018-02-05T13:36:30.508,352
267.0,2018-02-05T13:36:30.549,353
267.300018310547,2018-02-05T13:36:30.590,354
267.200012207031,2018-02-05T13:36:30.631,355
267.200012207031,2018-02-05T13:36:30.672,356
267.0,2018-02-05T13:36:30.714,357
266.899993896484,2018-02-05T13:36:30.755,358
266.899993896484,2018-02-05T13:36:30.796,359
266.800018310547,2018-02-05T13:36:30.838,360
266.800018310547,2018-02-05T13:36:30.879,361
266.200012207031,2018-02-05T13:36:30.920,362
266.100006103516,2018-02-05T13:36:30.961,363
266.100006103516,2018-02-05T13:36:31.003,364
265.800018310547,2018-02-05T13:36:31.044,365
265.399993896484,2018-02-05T13:36:31.085,366
265.0,2018-02-05T13:36:31.126,367
264.5,2018-02-05T13:36:31.168,368
264.200012207031,2018-02-05T13:36:31.209,369
264.200012207031,2018-02-05T13:36:31.250,370
264.100006103516,2018-02-05T13:36:31.291,371
263.5,2018-02-05T13:36:31.333,372
263.200012207031,2018-02-05T13:36:31.373,373
262.5,2018-02-05T13:36:31.415,374
262.100006103516,2018-02-05T13:36:31.456,375
261.800018310547,2018-02-05T13:36:31.537,376
261.5,2018-02-05T13:36:31.550,377
261.200012207031,2018-02-05T13:36:31.580,378
260.700012207031,2018-02-05T13:36:31.621,379
260.5,2018-02-05T13:36:31.663,380
260.300018310547,2018-02-05T13:36:31.704,381
260.0,2018-02-05T13:36:31.745,382
259.600006103516,2018-02-05T13:36:31.786,383
259.5,2018-02-05T13:36:31.828,384
259.300018310547,2018-02-05T13:36:31.869,385
259.200012207031,2018-02-05T13:36:31.910,386
258.899993896484,2018-02-05T13:36:31.951,387
258.800018310547,2018-02-05T13:36:31.992,388
258.600006103516,2018-02-05T13:36:32.034,389
258.399993896484,2018-02-05T13:36:32.075,390
258.300018310547,2018-02-05T13:36:32.116,391
257.800018310547,2018-02-05T13:36:32.157,392
257.600006103516,2018-02-05T13:36:32.199,393
257.300018310547,2018-02-05T13:36:32.240,394
257.300018310547,2018-02-05T13:36:32.281,395
257.200012207031,2018-02-05T13:36:32.322,396
257.200012207031,2018-02-05T13:36:32.364,397
257.200012207031,2018-02-05T13:36:32.405,398
257.0,2018-02-05T13:36:32.446,399
257.0,2018-02-05T13:36:32.488,400
257.0,2018-02-05T13:36:32.529,401
257.0,2018-02-05T13:36:32.570,402
257.0,2018-02-05T13:36:32.611,403
257.0,2018-02-05T13:36:32.652,404
256.700012207031,2018-02-05T13:36:32.694,405
256.700012207031,2018-02-05T13:36:32.735,406
256.5,2018-02-05T13:36:32.776,407
256.5,2018-02-05T13:36:32.817,408
256.300018310547,2018-02-05T13:36:32.859,409
256.0,2018-02-05T13:36:32.900,410
255.800003051758,2018-02-05T13:36:32.941,411
255.400009155273,2018-02-05T13:36:32.982,412
255.400009155273,2018-02-05T13:36:33.024,413
255.5,2018-02-05T13:36:33.065,414
255.5,2018-02-05T13:36:33.106,415
255.5,2018-02-05T13:36:33.148,416
255.600006103516,2018-02-05T13:36:33.189,417
