Time,Label
Logging Begins,543696648.4
Lean Forward,543696679.1
Back to Center,543696682.3
Twist Left,543696687.3
Back to Center,543696690.5
Twist Right,543696696.4
Back to Center,543696700
Arms Raised Front,543696714.2
Back Down,543696718.2
Arms Raised Side,543696721.1
Back Down,543696726.2
Logging Ends,543696734.3
