Time,Label
Logging Begins,542510008.3
Lean Forward,542510013.9
Back to Center,542510019.3
Twist Left,542510027.5
Back to Center,542510033
Twist Right,542510039.5
Back to Center,542510044.9
Arms Raised Forward,542510048.6
Arms Down,542510055.9
Arms Raised Sides,542510059.4
Arms Down,542510066.1
Logging Ends,542510071.7
