Time,Label
Logging Begins,542510008.271783
Note,542510013.855986
Note,542510019.315928
Note,542510027.543281
Note,542510033.029196
Note,542510039.547208
Note,542510044.908954
Note,542510048.554888
Note,542510055.872792
Note,542510059.386570
Note,542510066.074440
Logging Ends,542510071.728757
